id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
226;27 января 1847 г.;1847-01-27;88 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;#event_1884_226
227;11 января 1847 г.;1847-01-11;88 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;#event_1884_227
228;31 декабря 1851 г.;1851-12-31;88 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;#event_1884_228
229;26 марта 1852 г.;1852-03-26;88 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;#event_1884_229
230;18 апреля 1852 г.;1852-04-18;88 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;#event_1884_230
231;12 февраля 1853 г.;1853-02-12;88 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;#event_1884_231
232;25 мая 1849 г.;1849-05-25;88 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;#event_1884_232
233;31 мая 1852 г.;1852-05-31;88 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;#event_1884_233
234;14 августа 1852 г.;1852-08-14;88 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;#event_1884_234
235;11 февраля 1853 г.;1853-02-11;88 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;#event_1884_235
236;27 января 1847 г.;1847-01-27;89 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;#event_1884_236
237;11 января 1847 г.;1847-01-11;89 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;#event_1884_237
238;31 декабря 1851 г.;1851-12-31;89 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;#event_1884_238
239;26 марта 1852 г.;1852-03-26;89 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;#event_1884_239
240;18 апреля 1852 г.;1852-04-18;89 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;#event_1884_240
241;12 февраля 1853 г.;1853-02-12;89 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;#event_1884_241
242;25 мая 1849 г.;1849-05-25;89 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;#event_1884_242
243;31 мая 1852 г.;1852-05-31;89 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;#event_1884_243
244;14 августа 1852 г.;1852-08-14;89 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;#event_1884_244
245;11 февраля 1853 г.;1853-02-11;89 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;#event_1884_245
246;15 декабря 1852 г.;1852-12-15;90 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;#event_1884_246
247;12 августа 1852 г.;1852-08-12;90 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;#event_1884_247
248;17 января 1853 г.;1853-01-17;90 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;#event_1884_248
249;14 ноября 1852 г.;1852-11-14;90 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;#event_1884_249
250;1852 г.;1852;90 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;#event_1884_250
251;5 июля 1852 г.;1852-07-05;90 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;#event_1884_251
252;11 февраля 1853 г.;1853-02-11;90 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;#event_1884_252
253;4 декабря 1852 г.;1852-12-04;90 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;#event_1884_253
254;15 декабря 1852 г.;1852-12-15;91 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;#event_1884_254
255;12 августа 1852 г.;1852-08-12;91 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;#event_1884_255
256;17 января 1853 г.;1853-01-17;91 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;#event_1884_256
257;14 ноября 1852 г.;1852-11-14;91 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;#event_1884_257
258;1852 г.;1852;91 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;#event_1884_258
259;5 июля 1852 г.;1852-07-05;91 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;#event_1884_259
260;11 февраля 1853 г.;1853-02-11;91 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;#event_1884_260
261;4 декабря 1852 г.;1852-12-04;91 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;#event_1884_261
262;14 июля 1852 г.;1852-07-14;94 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;#event_1884_262
263;9 января 1853 г.;1853-01-09;94 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;#event_1884_263
264;1845 г.;1845;94 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;#event_1884_264
265;7 июня 1852 г.;1852-06-07;94 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;#event_1884_265
266;19 декабря 1852 г.;1852-12-19;94 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;#event_1884_266
267;23 июня 1849 г.;1849-06-23;94 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;#event_1884_267
268;19 июля 1850 г.;1850-07-19;94 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;#event_1884_268
269;18 мая 1851 г.;1851-05-18;94 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;#event_1884_269
270;22 февраля 1852 г.;1852-02-22;94 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;#event_1884_270
271;30 января 1853 г.;1853-01-30;94 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;#event_1884_271
272;11 июля 1848 г.;1848-07-11;94 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;#event_1884_272
273;14 июля 1852 г.;1852-07-14;95 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;#event_1884_273
274;9 января 1853 г.;1853-01-09;95 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;#event_1884_274
275;1845 г.;1845;95 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;#event_1884_275
276;7 июня 1852 г.;1852-06-07;95 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;#event_1884_276
277;19 декабря 1852 г.;1852-12-19;95 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;#event_1884_277
278;23 июня 1849 г.;1849-06-23;95 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;#event_1884_278
279;19 июля 1850 г.;1850-07-19;95 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;#event_1884_279
280;18 мая 1851 г.;1851-05-18;95 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;#event_1884_280
281;22 февраля 1852 г.;1852-02-22;95 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;#event_1884_281
282;30 января 1853 г.;1853-01-30;95 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;#event_1884_282
283;11 июля 1848 г.;1848-07-11;95 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;#event_1884_283
284;9 января 1850 г.;1850-01-09;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_284
285;26 декабря 1849 г.;1849-12-26;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_285
286;28 декабря 1850 г.;1850-12-28;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_286
287;16 февраля 1849 г.;1849-02-16;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_287
288;26 марта 1852 г.;1852-03-26;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_288
289;14 марта 1849 г.;1849-03-14;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_289
290;1852 г.;1852;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_290
291;31 января 1848 г.;1848-01-31;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_291
292;24 июля 1850 г.;1850-07-24;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_292
293;1852 г.;1852;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_293
294;3 июля 1851 г.;1851-07-03;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_294
295;7 декабря 1851 г.;1851-12-07;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_295
296;9 января 1850 г.;1850-01-09;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_296
297;26 декабря 1849 г.;1849-12-26;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_297
298;28 декабря 1850 г.;1850-12-28;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_298
299;16 февраля 1849 г.;1849-02-16;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_299
300;26 марта 1852 г.;1852-03-26;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_300
301;14 марта 1849 г.;1849-03-14;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_301
302;1852 г.;1852;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_302
303;31 января 1848 г.;1848-01-31;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_303
304;24 июля 1850 г.;1850-07-24;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_304
305;1852 г.;1852;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_305
306;3 июля 1851 г.;1851-07-03;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_306
307;7 декабря 1851 г.;1851-12-07;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;#event_1884_307
308;4 июля 1852 г.;1852-07-04;98 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;#event_1884_308
309;14 января 1853 г.;1853-01-14;98 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;#event_1884_309
310;1852 г.;1852;98 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;#event_1884_310
311;1852 г.;1852;98 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;#event_1884_311
312;14 января 1853 г.;1853-01-14;98 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;#event_1884_312
313;1852 г.;1852;98 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;#event_1884_313
314;11 февраля 1853 г.;1853-02-11;98 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;#event_1884_314
315;8 октября 1848 г.;1848-10-08;98 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;#event_1884_315
316;4 июля 1852 г.;1852-07-04;99 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;#event_1884_316
317;14 января 1853 г.;1853-01-14;99 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;#event_1884_317
318;1852 г.;1852;99 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;#event_1884_318
319;1852 г.;1852;99 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;#event_1884_319
320;14 января 1853 г.;1853-01-14;99 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;#event_1884_320
321;1852 г.;1852;99 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;#event_1884_321
322;11 февраля 1853 г.;1853-02-11;99 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;#event_1884_322
323;8 октября 1848 г.;1848-10-08;99 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;#event_1884_323
324;25 ноября 1849 г.;1849-11-25;100 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_324
325;18 марта 1852;1852-03-18;100 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_325
326;4 августа 1848 г.;1848-08-04;100 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_326
327;23 мая 1852 г.;1852-05-23;100 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_327
328;1852 г.;1852;100 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_328
329;5 августа 1848 г.;1848-08-05;100 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_329
330;23 апреля 1850 г.;1850-04-23;100 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_330
331;29 февраля 1850 г.;1850-02-29;100 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_331
332;25 ноября 1849 г.;1849-11-25;101 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_332
333;18 марта 1852;1852-03-18;101 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_333
334;4 августа 1848 г.;1848-08-04;101 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_334
335;23 мая 1852 г.;1852-05-23;101 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_335
336;1852 г.;1852;101 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_336
337;5 августа 1848 г.;1848-08-05;101 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_337
338;23 апреля 1850 г.;1850-04-23;101 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_338
339;29 февраля 1850 г.;1850-02-29;101 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_339
340;1853 г.;1853;104 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;#event_1884_340
341;7 декабря 1852 г.;1852-12-07;104 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;#event_1884_341
342;29 октября 1848 г.;1848-10-29;104 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;#event_1884_342
343;31 августа 1849 г.;1849-08-31;104 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;#event_1884_343
344;8 февраля 1850 г.;1850-02-08;104 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;#event_1884_344
345;26 января 1851 г.;1851-01-26;104 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;#event_1884_345
346;22 февраля 1852 г.;1852-02-22;104 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;#event_1884_346
347;9 февраля 1853 г.;1853-02-09;104 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;#event_1884_347
348;1852 г.;1852;104 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;#event_1884_348
349;31 декабря 1852 г.;1852-12-31;104 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;#event_1884_349
350;1853 г.;1853;105 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;#event_1884_350
351;7 декабря 1852 г.;1852-12-07;105 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;#event_1884_351
352;29 октября 1848 г.;1848-10-29;105 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;#event_1884_352
353;31 августа 1849 г.;1849-08-31;105 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;#event_1884_353
354;8 февраля 1850 г.;1850-02-08;105 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;#event_1884_354
355;26 января 1851 г.;1851-01-26;105 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;#event_1884_355
356;22 февраля 1852 г.;1852-02-22;105 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;#event_1884_356
357;9 февраля 1853 г.;1853-02-09;105 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;#event_1884_357
358;1852 г.;1852;105 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;#event_1884_358
359;31 декабря 1852 г.;1852-12-31;105 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;#event_1884_359
360;12 сентября 1852 г.;1852-09-12;106 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_360
361;15 сентября 1851 г.;1851-09-15;106 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_361
362;29 сентября 1851 г.;1851-09-29;106 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_362
363;27 февраля 1850 г.;1850-02-27;106 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_363
364;21 ноября 1851 г.;1851-11-21;106 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_364
365;13 июня 1852 г.;1852-06-13;106 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_365
366;5 сентября 1852 г.;1852-09-05;106 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_366
367;23 октября 1851 г.;1851-10-23;106 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_367
368;12 сентября 1852 г.;1852-09-12;107 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_368
369;15 сентября 1851 г.;1851-09-15;107 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_369
370;29 сентября 1851 г.;1851-09-29;107 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_370
371;27 февраля 1850 г.;1850-02-27;107 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_371
372;21 ноября 1851 г.;1851-11-21;107 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_372
373;13 июня 1852 г.;1852-06-13;107 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_373
374;5 сентября 1852 г.;1852-09-05;107 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_374
375;23 октября 1851 г.;1851-10-23;107 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_375
376;23 июля 1849 г.;1849-07-23;108 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_376
377;2 августа 1849 г.;1849-08-02;108 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_377
378;12 февраля 1851 г.;1851-02-12;108 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_378
379;26 августа 1850 г.;1850-08-26;108 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_379
380;20 июня 1852 г.;1852-06-20;108 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_380
381;1853 г.;1853;108 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_381
382;1840 г.;1840;108 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_382
383;19 декабря 1852 г.;1852-12-19;108 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_383
384;23 июля 1849 г.;1849-07-23;109 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_384
385;2 августа 1849 г.;1849-08-02;109 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_385
386;12 февраля 1851 г.;1851-02-12;109 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_386
387;26 августа 1850 г.;1850-08-26;109 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_387
388;20 июня 1852 г.;1852-06-20;109 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_388
389;1853 г.;1853;109 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_389
390;1840 г.;1840;109 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_390
391;19 декабря 1852 г.;1852-12-19;109 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_391
392;13 марта 1850 г.;1850-03-13;110 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными п;#event_1884_392
393;1852 г.;1852;110 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными п;#event_1884_393
394;1853 г.;1853;110 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными п;#event_1884_394
395;1852 г.;1852;110 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными п;#event_1884_395
396;13 марта 1850 г.;1850-03-13;111 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными п;#event_1884_396
397;1852 г.;1852;111 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными п;#event_1884_397
398;1853 г.;1853;111 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными п;#event_1884_398
399;1852 г.;1852;111 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными п;#event_1884_399
400;9 октября 1852 г.;1852-10-09;112 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;#event_1884_400
401;7 февраля 1853 г.;1853-02-07;112 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;#event_1884_401
402;6 февраля 1852 г.;1852-02-06;112 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;#event_1884_402
403;1853 г.;1853;112 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;#event_1884_403
404;1852 г.;1852;112 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;#event_1884_404
405;18 декабря 1852 г.;1852-12-18;112 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;#event_1884_405
406;3 марта 1853 г.;1853-03-03;112 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;#event_1884_406
407;9 октября 1852 г.;1852-10-09;113 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;#event_1884_407
408;7 февраля 1853 г.;1853-02-07;113 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;#event_1884_408
409;6 февраля 1852 г.;1852-02-06;113 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;#event_1884_409
410;1853 г.;1853;113 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;#event_1884_410
411;1852 г.;1852;113 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;#event_1884_411
412;18 декабря 1852 г.;1852-12-18;113 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;#event_1884_412
413;3 марта 1853 г.;1853-03-03;113 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;#event_1884_413
414;11 марта 1853 г.;1853-03-11;116 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;#event_1884_414
415;1852 г.;1852;116 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;#event_1884_415
416;1853 г.;1853;116 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;#event_1884_416
417;1851 г.;1851;116 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;#event_1884_417
418;1852 г.;1852;116 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;#event_1884_418
419;1853 г.;1853;116 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;#event_1884_419
420;1852 г.;1852;116 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;#event_1884_420
421;26 февраля 1852 г.;1852-02-26;116 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;#event_1884_421
422;11 марта 1853 г.;1853-03-11;117 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;#event_1884_422
423;1852 г.;1852;117 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;#event_1884_423
424;1853 г.;1853;117 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;#event_1884_424
425;1851 г.;1851;117 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;#event_1884_425
426;1852 г.;1852;117 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;#event_1884_426
427;1853 г.;1853;117 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;#event_1884_427
428;1852 г.;1852;117 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;#event_1884_428
429;26 февраля 1852 г.;1852-02-26;117 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;#event_1884_429
430;1851 г.;1851;118 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_430
