ID;Текст даты;Атрибут when;Контекст (для ИИ);event-ref (заполнить)
251;5 июля 1852 г.;1852-07-05;90 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;
252;11 февраля 1853 г.;1853-02-11;90 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;
253;4 декабря 1852 г.;1852-12-04;90 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;
254;15 декабря 1852 г.;1852-12-15;91 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;
255;12 августа 1852 г.;1852-08-12;91 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;
256;17 января 1853 г.;1853-01-17;91 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;
257;14 ноября 1852 г.;1852-11-14;91 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;
258;1852 г.;1852;91 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;
259;5 июля 1852 г.;1852-07-05;91 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;
260;11 февраля 1853 г.;1853-02-11;91 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;
261;4 декабря 1852 г.;1852-12-04;91 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;
262;14 июля 1852 г.;1852-07-14;94 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;
263;9 января 1853 г.;1853-01-09;94 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;
264;1845 г.;1845;94 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;
265;7 июня 1852 г.;1852-06-07;94 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;
266;19 декабря 1852 г.;1852-12-19;94 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;
267;23 июня 1849 г.;1849-06-23;94 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;
268;19 июля 1850 г.;1850-07-19;94 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;
269;18 мая 1851 г.;1851-05-18;94 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;
270;22 февраля 1852 г.;1852-02-22;94 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;
271;30 января 1853 г.;1853-01-30;94 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;
272;11 июля 1848 г.;1848-07-11;94 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;
273;14 июля 1852 г.;1852-07-14;95 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;
274;9 января 1853 г.;1853-01-09;95 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;
275;1845 г.;1845;95 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;
276;7 июня 1852 г.;1852-06-07;95 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;
277;19 декабря 1852 г.;1852-12-19;95 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;
278;23 июня 1849 г.;1849-06-23;95 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;
279;19 июля 1850 г.;1850-07-19;95 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;
280;18 мая 1851 г.;1851-05-18;95 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;
281;22 февраля 1852 г.;1852-02-22;95 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;
282;30 января 1853 г.;1853-01-30;95 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;
283;11 июля 1848 г.;1848-07-11;95 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 22;
284;9 января 1850 г.;1850-01-09;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
285;26 декабря 1849 г.;1849-12-26;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
286;28 декабря 1850 г.;1850-12-28;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
287;16 февраля 1849 г.;1849-02-16;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
288;26 марта 1852 г.;1852-03-26;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
289;14 марта 1849 г.;1849-03-14;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
290;1852 г.;1852;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
291;31 января 1848 г.;1848-01-31;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
292;24 июля 1850 г.;1850-07-24;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
293;1852 г.;1852;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
294;3 июля 1851 г.;1851-07-03;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
295;7 декабря 1851 г.;1851-12-07;96 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
296;9 января 1850 г.;1850-01-09;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
297;26 декабря 1849 г.;1849-12-26;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
298;28 декабря 1850 г.;1850-12-28;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
299;16 февраля 1849 г.;1849-02-16;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
300;26 марта 1852 г.;1852-03-26;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
301;14 марта 1849 г.;1849-03-14;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
302;1852 г.;1852;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
303;31 января 1848 г.;1848-01-31;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
304;24 июля 1850 г.;1850-07-24;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
305;1852 г.;1852;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
306;3 июля 1851 г.;1851-07-03;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
307;7 декабря 1851 г.;1851-12-07;97 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Пе;
308;4 июля 1852 г.;1852-07-04;98 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;
309;14 января 1853 г.;1853-01-14;98 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;
310;1852 г.;1852;98 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;
311;1852 г.;1852;98 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;
312;14 января 1853 г.;1853-01-14;98 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;
313;1852 г.;1852;98 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;
314;11 февраля 1853 г.;1853-02-11;98 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;
315;8 октября 1848 г.;1848-10-08;98 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;
316;4 июля 1852 г.;1852-07-04;99 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;
317;14 января 1853 г.;1853-01-14;99 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;
318;1852 г.;1852;99 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;
319;1852 г.;1852;99 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;
320;14 января 1853 г.;1853-01-14;99 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;
321;1852 г.;1852;99 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;
322;11 февраля 1853 г.;1853-02-11;99 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;
323;8 октября 1848 г.;1848-10-08;99 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 19;
324;25 ноября 1849 г.;1849-11-25;100 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
325;18 марта 1852;1852-03-18;100 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
326;4 августа 1848 г.;1848-08-04;100 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
327;23 мая 1852 г.;1852-05-23;100 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
328;1852 г.;1852;100 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
329;5 августа 1848 г.;1848-08-05;100 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
330;23 апреля 1850 г.;1850-04-23;100 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
331;29 февраля 1850 г.;1850-02-29;100 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
332;25 ноября 1849 г.;1849-11-25;101 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
333;18 марта 1852;1852-03-18;101 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
334;4 августа 1848 г.;1848-08-04;101 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
335;23 мая 1852 г.;1852-05-23;101 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
336;1852 г.;1852;101 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
337;5 августа 1848 г.;1848-08-05;101 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
338;23 апреля 1850 г.;1850-04-23;101 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
339;29 февраля 1850 г.;1850-02-29;101 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
340;1853 г.;1853;104 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;
341;7 декабря 1852 г.;1852-12-07;104 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;
342;29 октября 1848 г.;1848-10-29;104 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;
343;31 августа 1849 г.;1849-08-31;104 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;
344;8 февраля 1850 г.;1850-02-08;104 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;
345;26 января 1851 г.;1851-01-26;104 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;
346;22 февраля 1852 г.;1852-02-22;104 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;
347;9 февраля 1853 г.;1853-02-09;104 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;
348;1852 г.;1852;104 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;
349;31 декабря 1852 г.;1852-12-31;104 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;
350;1853 г.;1853;105 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;
351;7 декабря 1852 г.;1852-12-07;105 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;
352;29 октября 1848 г.;1848-10-29;105 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;
353;31 августа 1849 г.;1849-08-31;105 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;
354;8 февраля 1850 г.;1850-02-08;105 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;
355;26 января 1851 г.;1851-01-26;105 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;
356;22 февраля 1852 г.;1852-02-22;105 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;
357;9 февраля 1853 г.;1853-02-09;105 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;
358;1852 г.;1852;105 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;
359;31 декабря 1852 г.;1852-12-31;105 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными Б;
360;12 сентября 1852 г.;1852-09-12;106 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
361;15 сентября 1851 г.;1851-09-15;106 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
362;29 сентября 1851 г.;1851-09-29;106 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
363;27 февраля 1850 г.;1850-02-27;106 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
364;21 ноября 1851 г.;1851-11-21;106 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
365;13 июня 1852 г.;1852-06-13;106 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
366;5 сентября 1852 г.;1852-09-05;106 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
367;23 октября 1851 г.;1851-10-23;106 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
368;12 сентября 1852 г.;1852-09-12;107 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
369;15 сентября 1851 г.;1851-09-15;107 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
370;29 сентября 1851 г.;1851-09-29;107 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
371;27 февраля 1850 г.;1850-02-27;107 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
372;21 ноября 1851 г.;1851-11-21;107 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
373;13 июня 1852 г.;1852-06-13;107 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
374;5 сентября 1852 г.;1852-09-05;107 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
375;23 октября 1851 г.;1851-10-23;107 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
376;23 июля 1849 г.;1849-07-23;108 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
377;2 августа 1849 г.;1849-08-02;108 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
378;12 февраля 1851 г.;1851-02-12;108 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
379;26 августа 1850 г.;1850-08-26;108 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
380;20 июня 1852 г.;1852-06-20;108 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
381;1853 г.;1853;108 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
382;1840 г.;1840;108 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
383;19 декабря 1852 г.;1852-12-19;108 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
384;23 июля 1849 г.;1849-07-23;109 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
385;2 августа 1849 г.;1849-08-02;109 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
386;12 февраля 1851 г.;1851-02-12;109 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
387;26 августа 1850 г.;1850-08-26;109 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
388;20 июня 1852 г.;1852-06-20;109 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
389;1853 г.;1853;109 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
390;1840 г.;1840;109 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
391;19 декабря 1852 г.;1852-12-19;109 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
392;13 марта 1850 г.;1850-03-13;110 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными п;
393;1852 г.;1852;110 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными п;
394;1853 г.;1853;110 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными п;
395;1852 г.;1852;110 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными п;
396;13 марта 1850 г.;1850-03-13;111 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными п;
397;1852 г.;1852;111 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными п;
398;1853 г.;1853;111 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными п;
399;1852 г.;1852;111 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными п;
400;9 октября 1852 г.;1852-10-09;112 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;
401;7 февраля 1853 г.;1853-02-07;112 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;
402;6 февраля 1852 г.;1852-02-06;112 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;
403;1853 г.;1853;112 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;
404;1852 г.;1852;112 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;
405;18 декабря 1852 г.;1852-12-18;112 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;
406;3 марта 1853 г.;1853-03-03;112 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;
407;9 октября 1852 г.;1852-10-09;113 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;
408;7 февраля 1853 г.;1853-02-07;113 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;
409;6 февраля 1852 г.;1852-02-06;113 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;
410;1853 г.;1853;113 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;
411;1852 г.;1852;113 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;
412;18 декабря 1852 г.;1852-12-18;113 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;
413;3 марта 1853 г.;1853-03-03;113 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными П;
414;11 марта 1853 г.;1853-03-11;116 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;
415;1852 г.;1852;116 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;
416;1853 г.;1853;116 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;
417;1851 г.;1851;116 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;
418;1852 г.;1852;116 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;
419;1853 г.;1853;116 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;
420;1852 г.;1852;116 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;
421;26 февраля 1852 г.;1852-02-26;116 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;
422;11 марта 1853 г.;1853-03-11;117 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;
423;1852 г.;1852;117 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;
424;1853 г.;1853;117 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;
425;1851 г.;1851;117 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;
426;1852 г.;1852;117 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;
427;1853 г.;1853;117 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;
428;1852 г.;1852;117 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;
429;26 февраля 1852 г.;1852-02-26;117 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными з;
430;1851 г.;1851;118 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
431;27 февраля 1852 г.;1852-02-27;118 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
432;22 января 1853 г.;1853-01-22;118 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
433;1852 г.;1852;118 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
434;3 марта 1853 г.;1853-03-03;118 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
435;1852 г.;1852;118 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
436;3 марта 1853 г.;1853-03-03;118 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
437;24 сентября 1852 г.;1852-09-24;118 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
438;30 января 1853 г.;1853-01-30;118 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
439;1851 г.;1851;119 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
440;27 февраля 1852 г.;1852-02-27;119 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
441;22 января 1853 г.;1853-01-22;119 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
442;1852 г.;1852;119 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
443;3 марта 1853 г.;1853-03-03;119 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
444;1852 г.;1852;119 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
445;3 марта 1853 г.;1853-03-03;119 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
446;24 сентября 1852 г.;1852-09-24;119 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
447;30 января 1853 г.;1853-01-30;119 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
448;1851 г.;1851;120 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;
449;1852 г.;1852;120 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;
450;10 сентября 1852 г.;1852-09-10;120 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;
451;1853 г.;1853;120 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;
452;1851 г.;1851;120 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;
453;16 июля 1852 г.;1852-07-16;120 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;
454;3 марта 1853 г.;1853-03-03;120 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;
455;1852 г.;1852;120 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;
456;3 марта 1853 г.;1853-03-03;120 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;
457;1851 г.;1851;121 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;
458;1852 г.;1852;121 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;
459;10 сентября 1852 г.;1852-09-10;121 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;
460;1853 г.;1853;121 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;
461;1851 г.;1851;121 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;
462;16 июля 1852 г.;1852-07-16;121 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;
463;3 марта 1853 г.;1853-03-03;121 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;
464;1852 г.;1852;121 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;
465;3 марта 1853 г.;1853-03-03;121 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;
466;16 июня 1851 г.;1851-06-16;122 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
467;14 декабря 1851 г.;1851-12-14;122 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
468;24 января 1853 г.;1853-01-24;122 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
469;24 марта 1852 г.;1852-03-24;122 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
470;3 марта 1853 г.;1853-03-03;122 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
471;27 февраля 1852 г.;1852-02-27;122 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
472;1853 г.;1853;122 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
473;16 июня 1851 г.;1851-06-16;123 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
474;14 декабря 1851 г.;1851-12-14;123 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
475;24 января 1853 г.;1853-01-24;123 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
476;24 марта 1852 г.;1852-03-24;123 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
477;3 марта 1853 г.;1853-03-03;123 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
478;27 февраля 1852 г.;1852-02-27;123 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
479;1853 г.;1853;123 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;
480;1851 г.;1851;126 ПО КАКИМ ПРИСУТСТВЕННЫМ МЕСТАМ СУДЕБНЫЕ ПРИГОВОРЫ От;
