Тег;Текст сущности;REF (ID);Частота;Type (заполнить);Subtype (заполнить)
placeName;Енисей;;1;Географические Точки;река
placeName;Туба;;1;Географические Точки;река
placeName;Кеть;;1;Географические Точки;река
placeName;Каменский завод;;1;Насел. пункты;завод
placeName;Таловая;;1;Насел. пункты;селение
placeName;Рыбинское;;1;Насел. пункты;селение
placeName;Тесинская волость;;1;Адм. единицы;волость
placeName;Анцырская волость;;1;Адм. единицы;волость
placeName;Пермская губерния;;1;Адм. единицы;губерния
placeName;Балахтинская волость;;1;Адм. единицы;волость
placeName;Казачинская волость;;1;Адм. единицы;волость
placeName;Даурская;;1;Насел. пункты;селение
placeName;Бийский;;1;Адм. единицы;округ
placeName;Ярцовский;;1;Насел. пункты;участок
placeName;Верхнеибатский;;1;Насел. пункты;участок
