id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
224;1841 г.;1841;178 Всего капитала, оставшегося к;#event_1884_224
225;1842 г.;1842;178 Всего капитала, оставшегося к;#event_1884_225
226;1842 г.;1842;179 Всего капитала, оставшегося к;#event_1884_226
227;1841 г.;1841;179 Всего капитала, оставшегося к;#event_1884_227
228;1841 г.;1841;179 Всего капитала, оставшегося к;#event_1884_228
229;1842 г.;1842;179 Всего капитала, оставшегося к;#event_1884_229
230;1841 г.;1841;179 Всего капитала, оставшегося к;#event_1884_230
231;1841 г.;1841;179 Всего капитала, оставшегося к;#event_1884_231
232;1842 г.;1842;179 Всего капитала, оставшегося к;#event_1884_232
233;1841 г.;1841;179 Всего капитала, оставшегося к;#event_1884_233
234;1841 г.;1841;179 Всего капитала, оставшегося к;#event_1884_234
235;1842 г.;1842;179 Всего капитала, оставшегося к;#event_1884_235
236;1 АВГУСТА 1840;1840-08-01;РАСЧЕТ, ЧЕГО СТОИЛО СОДЕРЖАНИЕ В ГРАЖДАНСКИХ БОЛЬНИЦАХ ИРКУТСКОЙ ГУБЕРНИИ ОДНОГО БОЛЬНОГО С;#event_1884_236
237;1841 г.;1841;185;#event_1884_237
238;4 июня 1842 г.;1842-06-04;185;#event_1884_238
239;1842 г.;1842;185;#event_1884_239
240;1841 г.;1841;188 Господину министру финансов Имею честь препроводить к Вашему Сиятельству по принадлежности выпис;#event_1884_240
241;24 октября 1842;1842-10-24;188 Господину министру финансов Имею честь препроводить к Вашему Сиятельству по принадлежности выпис;#event_1884_241
242;1841 г.;1841;189 Господину министру внутренних дел На отношение Вашего Превосходительства от 24 минувшего октября;#event_1884_242
243;7 ноября 1842 г.;1842-11-07;189 Господину министру внутренних дел На отношение Вашего Превосходительства от 24 минувшего октября;#event_1884_243
244;10 октября 1842;1842-10-10;191 Господину министру внутренних дел Впоследствии отношения к Вашему Высокопревосходительству от 30;#event_1884_244
245;1838 г.;1838;193 В.;#event_1884_245
246;27 ноября 1842;1842-11-27;197 В Д-т полиции исполнительной Генерал-губернатор;#event_1884_246
247;27 ноября 1842;1842-11-27;198 В хозяйственный д-т Генерал-губернатор;#event_1884_247
248;5 ОКТЯБРЯ 1842;1842-10-05;ЖУРНАЛ СОВЕТА МИНИСТРА ВНУТРЕННИХ ДЕЛ ЗАСЕДАНИЕ XII;#event_1884_248
249;1840 г.;1840;200 Слушаны: а) доставленный генерал-губернатором;#event_1884_249
250;1841 г.;1841;200 Слушаны: а) доставленный генерал-губернатором;#event_1884_250
251;15 октября 1842 г.;1842-10-15;201 4. О недостаточности средств по присутственным местам и в особенности по Верхнеудинскому земском;#event_1884_251
