id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
230;1866 г.;1866;234 СВЕДЕНИЯ О ПОЛОЖЕНИИ СБОРОВ О ПОЛОЖЕНИИ СБОРОВ С ЖИТЕЛЕЙ ЕНИСЕЙСКОЙ ГУБЕРНИИ В 1866 ГОДУ С ЖИТЕЛ;#event_1866_230
231;1866 г.;1866;234 СВЕДЕНИЯ О ПОЛОЖЕНИИ СБОРОВ О ПОЛОЖЕНИИ СБОРОВ С ЖИТЕЛЕЙ ЕНИСЕЙСКОЙ ГУБЕРНИИ В 1866 ГОДУ С ЖИТЕЛ;#event_1866_231
232;1867 г.;1867;234 СВЕДЕНИЯ О ПОЛОЖЕНИИ СБОРОВ О ПОЛОЖЕНИИ СБОРОВ С ЖИТЕЛЕЙ ЕНИСЕЙСКОЙ ГУБЕРНИИ В 1866 ГОДУ С ЖИТЕЛ;#event_1866_232
233;1 января 1866 г.;1866-01-01;234 СВЕДЕНИЯ О ПОЛОЖЕНИИ СБОРОВ О ПОЛОЖЕНИИ СБОРОВ С ЖИТЕЛЕЙ ЕНИСЕЙСКОЙ ГУБЕРНИИ В 1866 ГОДУ С ЖИТЕЛ;#event_1866_233
234;1866 г.;1866;234 СВЕДЕНИЯ О ПОЛОЖЕНИИ СБОРОВ О ПОЛОЖЕНИИ СБОРОВ С ЖИТЕЛЕЙ ЕНИСЕЙСКОЙ ГУБЕРНИИ В 1866 ГОДУ С ЖИТЕЛ;#event_1866_234
235;1865 г.;1865;238 В то число собрано с жителей по 4 коп. 2913 483/4 Исключено за убылью душ 708 43 Зачтено вступив;#event_1866_235
236;1866 г.;1866;238 В то число собрано с жителей по 4 коп. 2913 483/4 Исключено за убылью душ 708 43 Зачтено вступив;#event_1866_236
237;1867 г.;1867;238 В то число собрано с жителей по 4 коп. 2913 483/4 Исключено за убылью душ 708 43 Зачтено вступив;#event_1866_237
238;1867 г.;1867;238 В то число собрано с жителей по 4 коп. 2913 483/4 Исключено за убылью душ 708 43 Зачтено вступив;#event_1866_238
239;1 января 1866 г.;1866-01-01;238 В то число собрано с жителей по 4 коп. 2913 483/4 Исключено за убылью душ 708 43 Зачтено вступив;#event_1866_239
240;1865 г.;1865;238 В то число собрано с жителей по 4 коп. 2913 483/4 Исключено за убылью душ 708 43 Зачтено вступив;#event_1866_240
241;1867 г.;1867;238 В то число собрано с жителей по 4 коп. 2913 483/4 Исключено за убылью душ 708 43 Зачтено вступив;#event_1866_241
242;1866 г.;1866;240 К 1-му числу января;#event_1866_242
243;1866 г.;1866;240 К 1-му числу января;#event_1866_243
